key,average_temperature,average_temperature_95pci_lb,average_temperature_95pci_ub,average_rainfall,average_rainfall_95pci_lb,average_rainfall_95pci_ub,discomfort
Afghanistan,4.998446415979709,4.800425752431235,5.196467079528182,2.7586993979328165,2.0377309196573035,3.4796678762083295,Yes
Albania,7.785941644562334,7.625161602483001,7.946721686641668,5.4824423480083855,4.644489392260459,6.320395303756312,Yes
Algeria,10.81439098470948,10.72808183790522,10.900700131513739,1.5614003973376362,1.4637580827493457,1.6590427119259268,Yes
Angola,25.924859211584874,25.826979123194985,26.022739299974763,7.557297297297297,5.6265139941766575,9.488080600417938,No
Argentina,22.389668571100916,22.311918770915533,22.4674183712863,5.47867074617737,5.267227016182819,5.690114476171921,No
Australia,23.55445061085627,23.502950763449874,23.60595045826267,2.6519266606801684,2.567827988591184,2.736025332769153,No
Austria,-2.2694950279051986,-2.4147212822773625,-2.124268773533035,2.6628480583170253,2.51907919091338,2.806616925720671,Yes
Azerbaijan,4.18922705796497,4.059286733583481,4.31916738234646,9.112258688607596,7.999897336210669,10.224620041004524,Yes
Bahrain,18.524427184466017,18.427819300983906,18.621035067948128,3.3093749999999997,1.3395740113100407,5.279175988689959,No
Bangladesh,20.402197905706192,20.299692790127665,20.50470302128472,0.3955713071077336,0.24995441196007914,0.541188202255388,No
Barbados,26.164895908111987,26.120909081576833,26.20888273464714,2.599406276505513,2.1361355023315816,3.062677050679444,No
Belarus,-3.4625743351165457,-3.6791739283645084,-3.245974741868583,1.550297305661821,1.4762778556110305,1.6243167557126115,Yes
Belgium,4.08104118104118,3.9259234352031904,4.23615892687917,2.804527162977867,2.6054921048447475,3.0035622211109865,Yes
Belize,25.018766066838044,24.938096275742843,25.099435857933244,3.9642580019398643,3.4531161715022813,4.475399832377447,No
Benin,27.713908192738504,27.655231453743962,27.772584931733046,3.0686372705530642,2.2470198936254757,3.8902546474806527,No
Bermuda,18.686632243258746,18.589035132712265,18.784229353805227,4.255430528375733,3.7882332112497767,4.722627845501689,No
Bolivia,24.489661652373663,24.42273362926058,24.556589675486745,8.501135232380186,8.20641837537733,8.795852089383041,No
Bosnia and Herzegovina,1.427920094898519,1.2156090903284535,1.6402310994685843,3.1850038249904467,2.9326560366024474,3.437351613378446,Yes
Botswana,26.393989393638165,26.308962821200375,26.479015966075956,4.826259639679716,4.521647654580651,5.130871624778781,No
Brazil,26.109887832568802,26.077592865909896,26.142182799227708,7.95568298964724,7.740601133896828,8.170764845397652,No
Brunei,27.13776702942362,27.09882382220769,27.17671023663955,11.130747767857144,10.09222211992642,12.169273415787869,No
Bulgaria,1.647009900990099,1.472072652421902,1.8219471495582957,1.7690547275053305,1.5859439654403416,1.9521654895703195,Yes
Burkina Faso,26.630490701556422,26.534831741737758,26.726149661375086,3.4172231042128596,1.943482950079351,4.8909632583463685,No
Cambodia,27.88827952233525,27.814303662914455,27.962255381756044,8.204166666666666,-1.3972998448269625,17.805633178160292,No
Cameroon,26.895758815012307,26.80802813032228,26.983489499702333,5.13603382487725,3.9520974990128828,6.319970150741618,No
Canada,-14.514532561926604,-14.689861136748272,-14.339203987104936,2.279628883454337,2.223243325240597,2.336014441668077,Yes
Cape Verde,22.338209665128797,22.286180153190678,22.390239177066917,0.9356164383561644,0.2552020977142302,1.6160307789980985,No
Central African Republic,25.161377773625425,25.071848320237503,25.250907227013347,4.523891457274827,3.5560968782681175,5.491686036281536,No
Chad,26.910401236449335,26.791842665563895,27.028959807334775,1.929080118694362,0.8243903938036545,3.0337698435850697,No
Chile,18.22837809216061,18.17632279456631,18.28043338975491,1.3079533655088853,1.187158571017199,1.4287481600005716,No
China,-1.658542110813909,-1.7672868033338647,-1.5497974182939531,1.479023089033244,1.386845268767778,1.5712009092987103,Yes
Colombia,24.202102443585783,24.152113493466583,24.252091393704983,4.165575481821981,3.9320659381968457,4.399085025447116,No
Congo,26.16961581401945,26.12110501575091,26.218126612287993,7.8830339592460525,7.302508094450793,8.463559824041312,No
Costa Rica,25.899550160828024,25.847360273482632,25.951740048173416,9.661625273202615,8.597880794449415,10.725369751955816,No
Cote d'Ivoire,27.183854443111453,27.132779374632282,27.234929511590625,5.038591167755992,4.52607012064842,5.551112214863563,No
Croatia,4.796029025440313,4.625681671239439,4.966376379641186,3.0678275896064195,2.8761618026859286,3.2594933765269105,Yes
Cuba,24.03896037279843,23.96622774981952,24.111692995777343,2.107070401901902,1.7938486153693487,2.4202921884344555,No
Cyprus,12.810520275439938,12.714806369143238,12.906234181736638,2.9488504959754698,2.6857062147483033,3.2119947772026363,No
Czech Republic,-1.1425030898318045,-1.3095935877331926,-0.9754125919304164,1.8227175559801299,1.6854351738559605,1.9599999381042992,Yes
Democratic Republic of Congo,26.269839125268128,26.206860912861856,26.3328173376744,10.484159684357541,8.353032603574968,12.615286765140114,No
Denmark,2.6319635573394495,2.5353141915614907,2.7286129231174083,2.2169669717233473,2.1170608174752235,2.316873125971471,Yes
Dominican Republic,25.58840849474606,25.548497701433295,25.628319288058822,4.977156604724409,4.488627660943168,5.46568554850565,No
Ecuador,22.393799957765665,22.220194350099227,22.567405565432104,10.31023027312296,9.487903580373624,11.132556965872295,No
Egypt,15.156834960244648,15.07538565621978,15.238284264269517,1.6688643832159624,1.3300267868060294,2.0077019796258955,No
El Salvador,26.191831238779177,26.12626956801768,26.257392909540673,1.0131165919282512,0.13242542542878366,1.8938077584277186,No
Eritrea,16.135761589403973,15.813946337118683,16.457576841689264,0.5,-5.853102368216048,6.853102368216048,No
Estonia,-2.4579697870795107,-2.661835347033986,-2.2541042271250356,1.6839659224302637,1.6068062291737686,1.7611256156867587,Yes
Ethiopia,19.14324613105135,19.040246068197767,19.24624619390493,3.7906427378964946,3.0482475160317986,4.533037959761191,No
Fiji,27.0010110898318,26.97131400530485,27.030708174358747,9.951507507923269,9.347706739564083,10.555308276282455,No
Finland,-7.15055240175841,-7.391557044030442,-6.909547759486378,1.444032285441345,1.377862996291354,1.510201574591336,Yes
France,5.5457161146789,5.427079359618227,5.664352869739573,2.2278331039358044,2.140853802828203,2.314812405043406,Yes
Gabon,26.83063945213427,26.785383867028063,26.87589503724048,9.872402197061806,9.201366325659276,10.543438068464337,No
Gambia,24.478224687933427,24.40191286694214,24.554536508924713,1.6965625000000002,0.11278391485734929,3.280341085142651,No
Georgia,1.9663205494841423,1.8178940906702197,2.114747008298065,3.722254088533541,3.4046405476709944,4.039867629396087,Yes
Germany,1.6611413589449542,1.5054065876722709,1.8168761302176375,2.038443535727933,1.9366642220257069,2.1402228494301596,Yes
Ghana,28.254458355597365,28.19477841339104,28.314138297803687,5.077087993620414,3.8186318490351243,6.335544138205703,No
Greece,10.150314730122325,10.042746245650077,10.257883214594573,3.2382693098159514,3.059953131719432,3.416585487912471,Yes
Guinea,27.452526367048055,27.3908627755078,27.51418995858831,1.8179945485074627,1.0677564372266146,2.5682326597883107,No
Guyana,26.36102305475504,26.306463287439115,26.415582822070967,6.693017656500802,5.890471571308815,7.49556374169279,No
Honduras,23.963100746337698,23.902253833373113,24.023947659302284,3.6871220131984157,3.2780634021456776,4.096180624251153,No
Hungary,0.5201758417431193,0.3544646186848602,0.6858870648013784,1.1448779705093834,1.0686978374441571,1.2210581035746098,Yes
Iceland,0.7646905827283149,0.6332761990516995,0.8961049664049303,3.8036738930549636,3.639853518499954,3.967494267609973,Yes
India,20.841549539961758,20.777481885591737,20.90561719433178,2.9732308808562196,2.72461031491042,3.221851446802019,No
Indonesia,27.07845749693016,27.059201760954114,27.097713232906205,9.860230254841998,9.266046453878792,10.454414055805204,No
Iran,6.808136857306811,6.687490835555097,6.928782879058525,1.2045313733067728,1.119272390131106,1.2897903564824398,Yes
Iraq,13.396169630642955,13.174477854731549,13.617861406554361,1.4671669793621014,0.4608503822293104,2.4734835764948926,No
Ireland,6.23482412201799,6.133601058121933,6.3360471859140475,3.6977699602598393,3.556292937733994,3.8392469827856845,Yes
Israel,13.986477019417476,13.88760482383487,14.085349215000083,2.8990180810707455,2.679405506033088,3.118630656108403,No
Italy,6.509143935779815,6.415866624615944,6.6024212469436865,2.9733811254302105,2.834193039432808,3.112569211427613,Yes
Jamaica,26.342245681381954,26.30644790245681,26.378043460307097,2.0881141045958795,1.6036668886587413,2.572561320533018,No
Japan,5.20651791704893,5.109288508032178,5.3037473260656816,4.2319882304165075,4.075426517276753,4.388549943556262,Yes
Jordan,10.615801830481496,10.504209162440906,10.727394498522086,1.834948466431095,1.4039201536592953,2.265976779202895,Yes
Kazakhstan,-10.231492243790601,-10.43512168712296,-10.027862800458243,0.9404506790830945,0.6532034388990977,1.2276979192670914,Yes
Kenya,24.64521062793382,24.594229229666915,24.696192026200727,2.864805379977247,2.3289421994380763,3.4006685605164177,No
Kuwait,14.447811480626223,14.327871521098624,14.567751440153822,1.3576502116679134,0.8887156019283189,1.826584821407508,No
Kyrgyz Republic,-5.210911990436113,-5.37609031369613,-5.045733667176096,1.3137906892479798,0.9462877048936283,1.6812936736023314,Yes
Laos,24.074438179447853,23.969435001340944,24.17944135755476,2.9101379034653467,2.116271333080784,3.7040044738499094,No
Latvia,-2.2390505133792047,-2.4405379497810817,-2.0375630769773276,1.9414486077981652,1.8500905881766645,2.032806627419666,Yes
Lebanon,12.301519338595106,12.196509042677985,12.406529634512228,5.723487245382586,5.24996937711868,6.197005113646491,No
Liberia,26.879745830023833,26.81297414356378,26.946517516483887,2.4647058823529413,-0.9033829388852879,5.832794703591171,No
Libya,13.801911477396727,13.712445498659779,13.891377456133675,2.419105266951415,2.1520513515540696,2.68615918234876,No
Lithuania,-2.1111327711119605,-2.317266257221887,-1.904999285002034,1.7692672606037445,1.6791288202147236,1.8594057009927654,Yes
Luxembourg,1.915717017208413,1.761690363895037,2.069743670521789,2.664892110049675,2.4749526850507655,2.854831535048585,Yes
Madagascar,26.335388818582295,26.30207003136223,26.36870760580236,11.25098457241083,10.863473653384602,11.638495491437059,No
Malawi,24.05328418230563,23.93338043164125,24.173187932970013,7.352749770852429,6.565773420850554,8.139726120854304,No
Malaysia,26.73119679027937,26.70756074887129,26.754832831687448,9.731060332550861,9.404104002618391,10.05801666248333,No
Mali,25.844037098846155,25.745357690231625,25.942716507460684,4.392148226120858,2.935994971738674,5.848301480503041,No
Mauritania,22.847163852656067,22.74314297687281,22.951184728439323,2.9543595274102077,1.6454420340494005,4.263277020771015,No
Mauritius,26.78231159915123,26.75293309039235,26.811690107910113,6.872635460557768,6.472240733938278,7.273030187177257,No
Mexico,18.297225311807413,18.23528081308612,18.359169810528705,0.6313228318651858,0.5907596556967353,0.6718860080336363,No
Moldova,-0.945414370955316,-1.1433184897695705,-0.7475102521410616,2.362715802641803,2.005744641225519,2.719686964058087,Yes
Mongolia,-18.89331313990826,-19.08252672204847,-18.704099557768046,0.405285386637459,0.3540735473252761,0.4564972259496419,Yes
Morocco,12.010528177845918,11.932173776198406,12.088882579493431,2.086191036201022,1.9248937311566372,2.247488341245407,Yes
Mozambique,26.991531777733595,26.941987936398835,27.041075619068355,9.146488338603426,8.655705480006038,9.637271197200814,No
Myanmar,24.395648400473004,24.31407208952128,24.47722471142473,0.6331613142201835,0.3347816825293431,0.931540945911024,No
Namibia,24.749343248618782,24.670815686732556,24.827870810505008,3.199597256355932,2.984631312293348,3.414563200418516,No
Nepal,12.294476358815732,12.181592833350384,12.40735988428108,0.44514255543822595,0.2695202844205382,0.6207648264559137,Yes
Netherlands,3.9186773700305806,3.773570558940079,4.063784181121083,2.397747740542606,2.2643577294635993,2.531137751621613,Yes
New Zealand,16.145163610707453,16.07651495318544,16.213812268229464,2.56339826119403,2.442601809720565,2.6841947126674945,No
Nicaragua,27.597626373626376,27.54935656373421,27.64589618351854,0.7151425722713864,0.38045179023478765,1.0498333543079852,No
Niger,24.247627768579132,24.133681072578057,24.361574464580208,3.8719242425531917,2.257192517837871,5.486655967268512,No
Nigeria,27.219920895493143,27.091773982075058,27.348067808911228,12.509782608695653,4.680526232113992,20.339038985277313,No
Norway,-2.107140779051988,-2.2376051252344165,-1.9766764328695599,3.9681942621322124,3.835955430330542,4.100433093933883,Yes
Oman,20.868373660926135,20.79855423020062,20.93819309165165,1.2074526959957852,0.9519705689343575,1.4629348230572128,No
Pakistan,13.977109490595613,13.873598929995081,14.080620051196144,1.2393940044682752,1.0707764809797338,1.4080115279568166,No
Papua New Guinea,27.977372599579834,27.936589051157092,28.018156148002575,8.678582412085415,8.22888464681547,9.12828017735536,No
Paraguay,27.542322123230008,27.457702778947287,27.62694146751273,7.187479925158562,6.7961451711600365,7.578814679157087,No
Peru,22.336923528669725,22.295952253554027,22.377894803785424,5.939197688958009,5.6549625441632045,6.223432833752813,No
Philippines,25.590305961773705,25.55675472234423,25.62385720120318,8.172392323247797,7.817165683074707,8.527618963420887,No
Poland,-0.5280319342507646,-0.7117163822778397,-0.3443474862236894,1.362629995743034,1.2814680562629255,1.4437919352231423,Yes
Portugal,12.885371688073395,12.83109748631539,12.9396458898314,4.987295728871893,4.7574104090142635,5.217181048729523,No
Qatar,19.305426356589148,19.207203147128148,19.40364956605015,3.6670050761421322,1.4142922168231298,5.919717935461135,No
Romania,-0.7165071341743119,-0.8853421830167174,-0.5476720853319064,1.2152467510564735,1.1073091634330006,1.3231843386799464,Yes
Russia,-15.816270159724873,-15.947313899813363,-15.685226419636383,0.9584232667176155,0.9443374852013573,0.9725090482338736,Yes
Rwanda,21.331425091352006,21.24347167488339,21.41937850782062,5.131463748290013,4.0109375824589,6.251989914121126,No
Saudi Arabia,16.711577836266258,16.623906489063,16.799249183469517,9.097626521516393,6.9460336816315955,11.24921936140119,No
Senegal,25.74668517757367,25.675955821958027,25.817414533189314,1.5946581758064513,0.7810491397689147,2.408267211843988,No
Serbia,2.0352071722090264,1.8472813210757184,2.2231330233423345,1.5175646324035155,1.3983278415693585,1.6368014232376724,Yes
Seychelles,27.437576749897666,27.399633502609856,27.475519997185476,10.554099079351161,9.672740649089326,11.435457509612997,No
Singapore,27.013116634799232,26.973165272429373,27.05306799716909,7.442578283855226,6.696128718121387,8.189027849589063,No
Slovak Republic,-0.930500764525994,-1.0980641669212994,-0.7629373621306884,1.6653802097821935,1.5377417417352628,1.7930186778291242,Yes
Slovenia,-2.9663968547641075,-3.1499371617455374,-2.7828565477826777,2.7623353095147114,2.520118041067242,3.0045525779621807,Yes
Solomon Islands,27.48486408969957,27.442528663850947,27.527199515548194,9.869047626455025,9.13249378789899,10.605601465011059,No
South Africa,21.389506712155963,21.33187448709093,21.447138937221,3.6819672781811232,3.570415043074753,3.7935195132874933,No
South Korea,2.216523493883792,2.074425764115814,2.3586212236517703,2.7617531169858456,2.574420395469648,2.949085838502043,Yes
Spain,9.718846050821552,9.636995739858987,9.800696361784118,1.7843883442873516,1.6963714422789116,1.8724052462957916,Yes
Sri Lanka,24.132482834756402,24.057985613050974,24.20698005646183,3.7846901961206894,3.39323081765705,4.176149574584329,No
Sudan,24.67319780317041,24.538489748550994,24.807905857789827,18.26816,16.173258729272593,20.36306127072741,No
Suriname,25.80897145446307,25.767070194605274,25.850872714320865,6.5553562275756025,5.830594943794613,7.280117511356592,No
Sweden,-3.4775275944189605,-3.652646934852771,-3.30240825398515,1.6035924604508978,1.5353277562225867,1.6718571646792089,Yes
Switzerland,0.10339669380733943,-0.021695455409981024,0.22848884302465988,3.4939645215896067,3.273404411308537,3.714524631870676,Yes
Syria,8.84695913200307,8.740094014362285,8.953824249643855,3.6051816625802684,3.1322196897840002,4.078143635376536,Yes
Tajikistan,-0.5542926506740682,-0.7167084798158206,-0.39187682153231573,2.265319709580838,1.921797199956973,2.608842219204703,Yes
Tanzania,25.924389686131388,25.868920527951076,25.9798588443117,6.4599879679300285,5.93422440660012,6.985751529259937,No
Thailand,25.499182323776758,25.431986729572703,25.566377917980812,3.9390557792103142,3.6767073371635837,4.201404221257045,No
Togo,28.002359956627487,27.939898458122645,28.06482145513233,2.5223033319999995,1.7559820431959878,3.2886246208040113,No
Trinidad and Tobago,26.221623895666806,26.18728339797116,26.25596439336245,2.9299395161290325,2.572390061840353,3.287488970417712,No
Tunisia,11.916555087987758,11.832054956193566,12.00105521978195,1.3575844926410465,1.2225976836134147,1.4925713016686784,Yes
Turkey,3.8481321980122325,3.7179879894574523,3.9782764065670126,3.3343943550501156,3.1836226510999635,3.4851660590002678,Yes
Turkmenistan,4.191151938837921,4.017778045268306,4.364525832407535,1.9605937081021088,1.7721641414602358,2.1490232747439815,Yes
Ukraine,-2.177937776699029,-2.3726212170279317,-1.9832543363701267,1.8203856541122212,1.738665965503134,1.9021053427213084,Yes
United Arab Emirates,20.156728561255743,20.06572825995853,20.247728862552957,0.5520576817887232,0.3725668363276201,0.7315485272498262,No
United Kingdom,5.001665322247706,4.904587124124582,5.09874352037083,3.019469303782958,2.907744267804844,3.1311943397610715,Yes
United States,-0.8924758318685517,-0.9996960139525949,-0.7852556497845086,2.3890033695070687,2.3209210690089486,2.457085670005189,Yes
Uruguay,24.076098737767584,23.975435148393288,24.17676232714188,5.044597851662404,4.6614504114001445,5.427745291924664,No
Uzbekistan,0.8873222831486434,0.7129310650701701,1.0617135012271166,1.921185823968175,1.7786122560111661,2.063759391925184,Yes
Vanuatu,27.059726249705992,27.023324229583338,27.096128269828647,9.658556454361054,9.053044165786297,10.264068742935812,No
Venezuela,27.016289550286803,26.977737791131812,27.054841309441795,2.1199623199224424,1.8771275841754833,2.3627970556694016,No
Vietnam,21.144774851299694,21.063282408725197,21.22626729387419,1.718479772960189,1.5764279699851598,1.8605315759352183,No
Zambia,25.54023020626151,25.281300428653527,25.79915998386949,8.513116479553902,7.034470707137249,9.991762251970556,No
Zimbabwe,21.945016402379,21.869722979057606,22.020309825700394,7.26003208776897,6.6688729081123155,7.851191267425624,No
